stimuli,congruent,M,country
anna,0,883.767117782976,UK
anna,1,747.074132625695,UK
ben,0,879.16625785138,UK
ben,1,770.070813246998,UK
business,0,1082.3993556701,UK
business,1,873.460404182822,UK
career,0,1057.11465229111,UK
career,1,938.059012228729,UK
children,0,1113.17578220962,UK
children,1,908.167734443822,UK
corporation,0,1043.95336608913,UK
corporation,1,868.507062204055,UK
daniel,0,915.950854640084,UK
daniel,1,801.709832854345,UK
emily,0,905.162268939066,UK
emily,1,760.835520941892,UK
family,0,1055.23552715096,UK
family,1,880.711639508495,UK
home,0,1159.73204671761,UK
home,1,993.22357527706,UK
jeffrey,0,923.278157969775,UK
jeffrey,1,805.695756708408,UK
john,0,888.356448449359,UK
john,1,775.769483628464,UK
julia,0,885.814819049797,UK
julia,1,755.534643561567,UK
management,0,1070.34285064035,UK
management,1,888.932292378257,UK
marriage,0,1148.04930805644,UK
marriage,1,916.272336612289,UK
michelle,0,909.608562120581,UK
michelle,1,780.485625221396,UK
office,0,1078.26348387097,UK
office,1,906.069287746988,UK
parents,0,1127.81878078424,UK
parents,1,991.558558367,UK
paul,0,892.950956239409,UK
paul,1,780.902821720519,UK
professional,0,1080.26994544657,UK
professional,1,910.783477364624,UK
rebecca,0,893.52430004149,UK
rebecca,1,765.158049096883,UK
relatives,0,1114.31293376746,UK
relatives,1,960.288974625921,UK
salary,0,1094.24368077251,UK
salary,1,946.202579521067,UK
wedding,0,1103.12014917188,UK
wedding,1,878.244509082275,UK
anna,0,844.350877753192,US
anna,1,714.935489307911,US
ben,0,843.455059707967,US
ben,1,739.232109912006,US
business,0,1017.65032431542,US
business,1,833.104253907524,US
career,0,986.812774188262,US
career,1,878.22726060058,US
children,0,1057.34315126708,US
children,1,862.905256283661,US
corporation,0,978.875886961507,US
corporation,1,823.614465132385,US
daniel,0,887.763734872227,US
daniel,1,778.56137968673,US
emily,0,872.243015572289,US
emily,1,734.23456116675,US
family,0,995.988422160283,US
family,1,842.025308172087,US
home,0,1083.14512671008,US
home,1,932.139380477456,US
jeffrey,0,883.102817495255,US
jeffrey,1,778.533946667912,US
john,0,853.62168051458,US
john,1,750.112678977103,US
julia,0,848.462517574421,US
julia,1,722.239185473078,US
management,0,1003.15035084079,US
management,1,847.323242293927,US
marriage,0,1082.91648418044,US
marriage,1,865.451021748214,US
michelle,0,875.32095494461,US
michelle,1,744.677918091787,US
office,0,1013.48477689809,US
office,1,855.352409638554,US
parents,0,1068.44234028825,US
parents,1,938.11124807396,US
paul,0,863.566581418504,US
paul,1,757.429169309289,US
professional,0,1017.23089180346,US
professional,1,870.520163433431,US
rebecca,0,857.860288110848,US
rebecca,1,733.933947699471,US
relatives,0,1062.14846425189,US
relatives,1,919.393199067614,US
salary,0,1029.51596830665,US
salary,1,895.904847414276,US
wedding,0,1040.82351051267,US
wedding,1,827.678651548217,US
