0,1,cosine
rebecca,career,0.8090116268906778
rebecca,family,0.8166076901775484
rebecca,male,0.822411857
rebecca,female,0.7844292814026546
michelle,career,0.7886813343577133
michelle,family,0.8007440578262639
michelle,male,0.8622751297564173
michelle,female,0.8357165865520173
emily,career,0.7574380975864277
emily,family,0.7792958713536363
emily,male,0.926208293
emily,female,0.9034191289709224
julia,career,0.8058876960653957
julia,family,0.7675081467120071
julia,male,0.7647900677997614
julia,female,0.7572417104286067
anna,career,0.8390045652253244
anna,family,0.8383489450054405
anna,male,0.796974202
anna,female,0.7859710767477114
ben,career,0.8490546329111207
ben,family,0.882741381
ben,male,0.932888304
ben,female,0.9657076685463157
paul,career,0.8407070505249761
paul,family,0.8675822758956191
paul,male,0.9782320013325032
paul,female,0.9886893135318697
daniel,career,0.8283793867285664
daniel,family,0.8484872816944198
daniel,male,0.9447228599902993
daniel,female,0.9435068090894342
john,career,0.8284044052758778
john,family,0.8454958671198767
john,male,0.9314173587729195
john,female,0.9301126385055609
jeffrey,career,0.8087004306440233
jeffrey,family,0.83074415
jeffrey,male,0.9201322231858712
jeffrey,female,0.9049248038074348
career,career,0
career,family,0.5289681719001829
career,male,0.7982616126966321
career,female,0.6867289021226946
corporation,career,0.5203332175630595
corporation,family,0.5204192025879497
corporation,male,0.7496307702727896
corporation,female,0.648305079
salary,career,0.6309241348417521
salary,family,0.6482819329875881
salary,male,0.8029194456241013
salary,female,0.7953277657583055
office,career,0.6248770539506415
office,family,0.5871066318473871
office,male,0.7535808096803883
office,female,0.6831393083686494
professional,career,0.4755402252197358
professional,family,0.6075467221896276
professional,male,0.7813990747657235
professional,female,0.6093257821529967
management,career,0.43025789386170665
management,family,0.5146511655860977
management,male,0.749562792
management,female,0.6848587127789136
business,career,0.49117986416203296
business,family,0.5330412691252127
business,male,0.8472378596789393
business,female,0.7399940812094299
wedding,career,0.47813780602687794
wedding,family,0.5225862360839935
wedding,male,0.8136214269398584
wedding,female,0.7070246521878762
marriage,career,0.45179491629951707
marriage,family,0.5169820837023982
marriage,male,0.7296874203787074
marriage,female,0.641929645
parents,career,0.6848844075701812
parents,family,0.5655018806280164
parents,male,0.7574293991248107
parents,female,0.731708309
relatives,career,0.6533961720431475
relatives,family,0.5024071501377851
relatives,male,0.7206014350343223
relatives,female,0.6790093661044851
family,career,0.5289681719001829
family,family,0
family,male,0.7250033864827926
family,female,0.628284453
home,career,0.6323003253434625
home,family,0.6105424609074246
home,male,0.7520511690786649
home,female,0.6719015672925854
children,career,0.5737548415500743
children,family,0.48858847660895166
children,male,0.7132566714227173
children,female,0.6254384582109047
