family,model,n,C0_bAB,C0_bABpc,C1,C1pc,C2,C2pc,C3,C3pc,C4,C4pc,C3C4,C3C4pc,allC,allCpc
count,conditional_probability_None,36,36,100,36,100,36,100,2,5.55555555555556,36,100,2,5.55555555555556,2,5.55555555555556
count,glove_6B_300d,9,9,100,9,100,9,100,0,0,9,100,0,0,0,0
count,log_cooccurrence_None,36,35,97.2222222222222,36,100,36,100,20,55.5555555555556,28,77.7777777777778,12,33.3333333333333,12,33.3333333333333
count,pmi_None,36,36,100,36,100,36,100,16,44.4444444444444,26,72.2222222222222,6,16.6666666666667,6,16.6666666666667
count,ppmi_None,36,35,97.2222222222222,36,100,36,100,13,36.1111111111111,26,72.2222222222222,3,8.33333333333333,3,8.33333333333333
count,probability_ratios_None,36,23,63.8888888888889,36,100,36,100,14,38.8888888888889,24,66.6666666666667,12,33.3333333333333,12,33.3333333333333
llm,llama_2_13b_chat_Q5_K_S,18,18,100,18,100,18,100,0,0,12,66.6666666666667,0,0,0,0
llm,llama_2_7b_chat_Q4_K_M,18,18,100,18,100,18,100,12,66.6666666666667,12,66.6666666666667,12,66.6666666666667,12,66.6666666666667
llm,mistral_7b_v0_1_Q4_K_M,18,18,100,18,100,18,100,10,55.5555555555556,15,83.3333333333333,9,50,9,50
ngram,conditional_probability_ngram,12,12,100,12,100,12,100,6,50,12,100,6,50,6,50
ngram,log_ngram,12,12,100,12,100,12,100,4,33.3333333333333,12,100,4,33.3333333333333,4,33.3333333333333
ngram,pmi_ngram,12,12,100,12,100,12,100,2,16.6666666666667,7,58.3333333333333,2,16.6666666666667,2,16.6666666666667
ngram,ppmi_ngram,12,12,100,11,91.6666666666667,12,100,3,25,12,100,3,25,3,25
ngram,probability_ratio_ngram,12,12,100,12,100,12,100,2,16.6666666666667,6,50,2,16.6666666666667,2,16.6666666666667
predict,cbow,180,180,100,180,100,180,100,72,40,160,88.8888888888889,72,40,72,40
predict,skipgram,180,179,99.4444444444444,180,100,180,100,74,41.1111111111111,180,100,74,41.1111111111111,74,41.1111111111111
